"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 08:32:59 GMT 2023","Thu Jun 01 08:33:01 GMT 2023","2034","webkit","","","","","has title",""
"passed","Thu Jun 01 08:32:44 GMT 2023","Thu Jun 01 08:32:45 GMT 2023","1099","chromium","","","","","facebook web test",""
"passed","Thu Jun 01 08:32:57 GMT 2023","Thu Jun 01 08:32:58 GMT 2023","1303","firefox","","","","","facebook web test",""
"passed","Thu Jun 01 08:32:54 GMT 2023","Thu Jun 01 08:32:57 GMT 2023","2882","firefox","","","","","playwright web test",""
"broken","Thu Jun 01 08:32:48 GMT 2023","Thu Jun 01 08:32:53 GMT 2023","5706","firefox","","","","","get started link",""
"passed","Thu Jun 01 08:32:43 GMT 2023","Thu Jun 01 08:32:44 GMT 2023","1275","chromium","","","","","playwright web test",""
"passed","Thu Jun 01 08:33:07 GMT 2023","Thu Jun 01 08:33:09 GMT 2023","2226","webkit","","","","","playwright web test",""
"passed","Thu Jun 01 08:32:46 GMT 2023","Thu Jun 01 08:32:48 GMT 2023","2088","firefox","","","","","has title",""
"passed","Thu Jun 01 08:33:09 GMT 2023","Thu Jun 01 08:33:11 GMT 2023","1965","webkit","","","","","facebook web test",""
"broken","Thu Jun 01 08:32:37 GMT 2023","Thu Jun 01 08:32:42 GMT 2023","5189","chromium","","","","","get started link",""
"passed","Thu Jun 01 08:32:36 GMT 2023","Thu Jun 01 08:32:37 GMT 2023","713","chromium","","","","","has title",""
"broken","Thu Jun 01 08:33:01 GMT 2023","Thu Jun 01 08:33:06 GMT 2023","5281","webkit","","","","","get started link",""
