"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 08:43:31 GMT 2023","Thu Jun 01 08:43:33 GMT 2023","1650","webkit","","","","","has title",""
"passed","Thu Jun 01 08:43:27 GMT 2023","Thu Jun 01 08:43:29 GMT 2023","2579","firefox","","","","","playwright web test",""
"broken","Thu Jun 01 08:43:11 GMT 2023","Thu Jun 01 08:43:16 GMT 2023","5166","chromium","","","","","get started link",""
"passed","Thu Jun 01 08:43:39 GMT 2023","Thu Jun 01 08:43:41 GMT 2023","1992","webkit","","","","","playwright web test",""
"passed","Thu Jun 01 08:43:11 GMT 2023","Thu Jun 01 08:43:11 GMT 2023","633","chromium","","","","","has title",""
"passed","Thu Jun 01 08:43:18 GMT 2023","Thu Jun 01 08:43:19 GMT 2023","903","chromium","","","","","facebook web test",""
"passed","Thu Jun 01 08:43:41 GMT 2023","Thu Jun 01 08:43:42 GMT 2023","1430","webkit","","","","","facebook web test",""
"passed","Thu Jun 01 08:43:29 GMT 2023","Thu Jun 01 08:43:31 GMT 2023","1064","firefox","","","","","facebook web test",""
"passed","Thu Jun 01 08:43:19 GMT 2023","Thu Jun 01 08:43:21 GMT 2023","1792","firefox","","","","","has title",""
"broken","Thu Jun 01 08:43:33 GMT 2023","Thu Jun 01 08:43:38 GMT 2023","5234","webkit","","","","","get started link",""
"passed","Thu Jun 01 08:43:17 GMT 2023","Thu Jun 01 08:43:18 GMT 2023","1091","chromium","","","","","playwright web test",""
"broken","Thu Jun 01 08:43:21 GMT 2023","Thu Jun 01 08:43:27 GMT 2023","5581","firefox","","","","","get started link",""
