"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 13 00:52:29 GMT 2023","Tue Jun 13 00:52:31 GMT 2023","1771","chromium","","","","","facebook web test",""
"failed","Tue Jun 13 00:52:38 GMT 2023","Tue Jun 13 00:52:42 GMT 2023","4142","firefox","","","","","facebook web test",""
"passed","Tue Jun 13 00:52:31 GMT 2023","Tue Jun 13 00:52:34 GMT 2023","2459","firefox","","","","","has title",""
"failed","Tue Jun 13 00:52:27 GMT 2023","Tue Jun 13 00:52:28 GMT 2023","1311","chromium","","","","","playwright web test",""
"failed","Tue Jun 13 00:52:48 GMT 2023","Tue Jun 13 00:52:50 GMT 2023","2281","webkit","","","","","playwright web test",""
"passed","Tue Jun 13 00:52:45 GMT 2023","Tue Jun 13 00:52:48 GMT 2023","2437","webkit","","","","","get started link",""
"passed","Tue Jun 13 00:52:24 GMT 2023","Tue Jun 13 00:52:26 GMT 2023","1269","chromium","","","","","has title",""
"passed","Tue Jun 13 00:52:43 GMT 2023","Tue Jun 13 00:52:45 GMT 2023","2681","webkit","","","","","has title",""
"passed","Tue Jun 13 00:52:26 GMT 2023","Tue Jun 13 00:52:27 GMT 2023","1332","chromium","","","","","get started link",""
"failed","Tue Jun 13 00:52:50 GMT 2023","Tue Jun 13 00:52:53 GMT 2023","2567","webkit","","","","","facebook web test",""
"failed","Tue Jun 13 00:52:35 GMT 2023","Tue Jun 13 00:52:37 GMT 2023","2193","firefox","","","","","playwright web test",""
"passed","Tue Jun 13 00:52:34 GMT 2023","Tue Jun 13 00:52:35 GMT 2023","1704","firefox","","","","","get started link",""
