"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 08:37:41 GMT 2023","Thu Jun 01 08:37:42 GMT 2023","1887","webkit","","","","","playwright web test",""
"passed","Thu Jun 01 08:37:28 GMT 2023","Thu Jun 01 08:37:30 GMT 2023","2409","firefox","","","","","playwright web test",""
"passed","Thu Jun 01 08:37:10 GMT 2023","Thu Jun 01 08:37:12 GMT 2023","1541","chromium","","","","","has title",""
"broken","Thu Jun 01 08:37:12 GMT 2023","Thu Jun 01 08:37:17 GMT 2023","5163","chromium","","","","","get started link",""
"passed","Thu Jun 01 08:37:30 GMT 2023","Thu Jun 01 08:37:32 GMT 2023","1462","firefox","","","","","facebook web test",""
"passed","Thu Jun 01 08:37:18 GMT 2023","Thu Jun 01 08:37:19 GMT 2023","1114","chromium","","","","","playwright web test",""
"passed","Thu Jun 01 08:37:19 GMT 2023","Thu Jun 01 08:37:20 GMT 2023","1181","chromium","","","","","facebook web test",""
"passed","Thu Jun 01 08:37:42 GMT 2023","Thu Jun 01 08:37:45 GMT 2023","2106","webkit","","","","","facebook web test",""
"broken","Thu Jun 01 08:37:35 GMT 2023","Thu Jun 01 08:37:40 GMT 2023","5237","webkit","","","","","get started link",""
"broken","Thu Jun 01 08:37:22 GMT 2023","Thu Jun 01 08:37:28 GMT 2023","5574","firefox","","","","","get started link",""
"passed","Thu Jun 01 08:37:33 GMT 2023","Thu Jun 01 08:37:35 GMT 2023","2250","webkit","","","","","has title",""
"passed","Thu Jun 01 08:37:20 GMT 2023","Thu Jun 01 08:37:22 GMT 2023","1794","firefox","","","","","has title",""
