"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 08:44:27 GMT 2023","Thu Jun 01 08:44:29 GMT 2023","1924","webkit","","","","","has title",""
"passed","Thu Jun 01 08:44:13 GMT 2023","Thu Jun 01 08:44:14 GMT 2023","1070","chromium","","","","","playwright web test",""
"passed","Thu Jun 01 08:44:06 GMT 2023","Thu Jun 01 08:44:08 GMT 2023","1094","chromium","","","","","has title",""
"passed","Thu Jun 01 08:44:35 GMT 2023","Thu Jun 01 08:44:37 GMT 2023","1773","webkit","","","","","playwright web test",""
"passed","Thu Jun 01 08:44:14 GMT 2023","Thu Jun 01 08:44:15 GMT 2023","873","chromium","","","","","facebook web test",""
"broken","Thu Jun 01 08:44:08 GMT 2023","Thu Jun 01 08:44:13 GMT 2023","5146","chromium","","","","","get started link",""
"passed","Thu Jun 01 08:44:15 GMT 2023","Thu Jun 01 08:44:17 GMT 2023","1801","firefox","","","","","has title",""
"broken","Thu Jun 01 08:44:29 GMT 2023","Thu Jun 01 08:44:35 GMT 2023","5239","webkit","","","","","get started link",""
"passed","Thu Jun 01 08:44:23 GMT 2023","Thu Jun 01 08:44:25 GMT 2023","2348","firefox","","","","","playwright web test",""
"passed","Thu Jun 01 08:44:37 GMT 2023","Thu Jun 01 08:44:38 GMT 2023","1414","webkit","","","","","facebook web test",""
"broken","Thu Jun 01 08:44:17 GMT 2023","Thu Jun 01 08:44:23 GMT 2023","5581","firefox","","","","","get started link",""
"passed","Thu Jun 01 08:44:25 GMT 2023","Thu Jun 01 08:44:27 GMT 2023","1046","firefox","","","","","facebook web test",""
