"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 08 06:11:20 GMT 2023","Thu Jun 08 06:11:22 GMT 2023","1997","webkit","","","","","get started link",""
"failed","Thu Jun 08 06:11:14 GMT 2023","Thu Jun 08 06:11:17 GMT 2023","3601","firefox","","","","","facebook web test",""
"failed","Thu Jun 08 06:11:05 GMT 2023","Thu Jun 08 06:11:06 GMT 2023","1123","chromium","","","","","playwright web test",""
"passed","Thu Jun 08 06:11:10 GMT 2023","Thu Jun 08 06:11:12 GMT 2023","1314","firefox","","","","","get started link",""
"passed","Thu Jun 08 06:11:01 GMT 2023","Thu Jun 08 06:11:04 GMT 2023","2615","chromium","","","","","has title",""
"failed","Thu Jun 08 06:11:24 GMT 2023","Thu Jun 08 06:11:27 GMT 2023","2751","webkit","","","","","facebook web test",""
"failed","Thu Jun 08 06:11:22 GMT 2023","Thu Jun 08 06:11:24 GMT 2023","1720","webkit","","","","","playwright web test",""
"failed","Thu Jun 08 06:11:06 GMT 2023","Thu Jun 08 06:11:08 GMT 2023","1664","chromium","","","","","facebook web test",""
"failed","Thu Jun 08 06:11:12 GMT 2023","Thu Jun 08 06:11:13 GMT 2023","1698","firefox","","","","","playwright web test",""
"passed","Thu Jun 08 06:11:04 GMT 2023","Thu Jun 08 06:11:05 GMT 2023","938","chromium","","","","","get started link",""
"passed","Thu Jun 08 06:11:18 GMT 2023","Thu Jun 08 06:11:20 GMT 2023","2596","webkit","","","","","has title",""
"passed","Thu Jun 08 06:11:08 GMT 2023","Thu Jun 08 06:11:10 GMT 2023","1879","firefox","","","","","has title",""
