"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 08 06:05:18 GMT 2023","Thu Jun 08 06:05:19 GMT 2023","831","chromium","","","","","playwright web test",""
"passed","Thu Jun 08 06:05:19 GMT 2023","Thu Jun 08 06:05:20 GMT 2023","785","chromium","","","","","facebook web test",""
"passed","Thu Jun 08 06:05:23 GMT 2023","Thu Jun 08 06:05:24 GMT 2023","1051","firefox","","","","","playwright web test",""
"passed","Thu Jun 08 06:05:30 GMT 2023","Thu Jun 08 06:05:33 GMT 2023","2563","webkit","","","","","playwright web test",""
"passed","Thu Jun 08 06:05:24 GMT 2023","Thu Jun 08 06:05:25 GMT 2023","1188","firefox","","","","","facebook web test",""
"passed","Thu Jun 08 06:05:17 GMT 2023","Thu Jun 08 06:05:18 GMT 2023","899","chromium","","","","","get started link",""
"passed","Thu Jun 08 06:05:20 GMT 2023","Thu Jun 08 06:05:22 GMT 2023","1709","firefox","","","","","has title",""
"passed","Thu Jun 08 06:05:26 GMT 2023","Thu Jun 08 06:05:28 GMT 2023","2123","webkit","","","","","has title",""
"passed","Thu Jun 08 06:05:28 GMT 2023","Thu Jun 08 06:05:30 GMT 2023","1878","webkit","","","","","get started link",""
"passed","Thu Jun 08 06:05:16 GMT 2023","Thu Jun 08 06:05:17 GMT 2023","1300","chromium","","","","","has title",""
"passed","Thu Jun 08 06:05:22 GMT 2023","Thu Jun 08 06:05:23 GMT 2023","1261","firefox","","","","","get started link",""
"passed","Thu Jun 08 06:05:33 GMT 2023","Thu Jun 08 06:05:34 GMT 2023","1454","webkit","","","","","facebook web test",""
