"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 08:39:47 GMT 2023","Thu Jun 01 08:39:49 GMT 2023","1101","chromium","","","","","facebook web test",""
"passed","Thu Jun 01 08:39:49 GMT 2023","Thu Jun 01 08:39:51 GMT 2023","2158","firefox","","","","","has title",""
"passed","Thu Jun 01 08:39:40 GMT 2023","Thu Jun 01 08:39:40 GMT 2023","692","chromium","","","","","has title",""
"passed","Thu Jun 01 08:40:12 GMT 2023","Thu Jun 01 08:40:14 GMT 2023","1841","webkit","","","","","facebook web test",""
"passed","Thu Jun 01 08:40:03 GMT 2023","Thu Jun 01 08:40:05 GMT 2023","1822","webkit","","","","","has title",""
"passed","Thu Jun 01 08:40:00 GMT 2023","Thu Jun 01 08:40:02 GMT 2023","1459","firefox","","","","","facebook web test",""
"broken","Thu Jun 01 08:40:05 GMT 2023","Thu Jun 01 08:40:10 GMT 2023","5253","webkit","","","","","get started link",""
"passed","Thu Jun 01 08:39:46 GMT 2023","Thu Jun 01 08:39:47 GMT 2023","1471","chromium","","","","","playwright web test",""
"passed","Thu Jun 01 08:40:10 GMT 2023","Thu Jun 01 08:40:12 GMT 2023","2166","webkit","","","","","playwright web test",""
"broken","Thu Jun 01 08:39:51 GMT 2023","Thu Jun 01 08:39:57 GMT 2023","5644","firefox","","","","","get started link",""
"broken","Thu Jun 01 08:39:40 GMT 2023","Thu Jun 01 08:39:46 GMT 2023","5207","chromium","","","","","get started link",""
"passed","Thu Jun 01 08:39:57 GMT 2023","Thu Jun 01 08:40:00 GMT 2023","2979","firefox","","","","","playwright web test",""
