"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 13 00:55:11 GMT 2023","Tue Jun 13 00:55:12 GMT 2023","1669","firefox","","","","","playwright web test",""
"passed","Tue Jun 13 00:55:01 GMT 2023","Tue Jun 13 00:55:03 GMT 2023","1614","chromium","","","","","has title",""
"passed","Tue Jun 13 00:55:03 GMT 2023","Tue Jun 13 00:55:04 GMT 2023","958","chromium","","","","","get started link",""
"passed","Tue Jun 13 00:55:09 GMT 2023","Tue Jun 13 00:55:10 GMT 2023","1418","firefox","","","","","get started link",""
"failed","Tue Jun 13 00:55:06 GMT 2023","Tue Jun 13 00:55:07 GMT 2023","1359","chromium","","","","","facebook web test",""
"failed","Tue Jun 13 00:55:13 GMT 2023","Tue Jun 13 00:55:16 GMT 2023","3597","firefox","","","","","facebook web test",""
"passed","Tue Jun 13 00:55:16 GMT 2023","Tue Jun 13 00:55:19 GMT 2023","2152","webkit","","","","","has title",""
"failed","Tue Jun 13 00:55:21 GMT 2023","Tue Jun 13 00:55:23 GMT 2023","2008","webkit","","","","","playwright web test",""
"failed","Tue Jun 13 00:55:23 GMT 2023","Tue Jun 13 00:55:26 GMT 2023","2989","webkit","","","","","facebook web test",""
"passed","Tue Jun 13 00:55:19 GMT 2023","Tue Jun 13 00:55:21 GMT 2023","1995","webkit","","","","","get started link",""
"failed","Tue Jun 13 00:55:04 GMT 2023","Tue Jun 13 00:55:05 GMT 2023","1083","chromium","","","","","playwright web test",""
"passed","Tue Jun 13 00:55:07 GMT 2023","Tue Jun 13 00:55:09 GMT 2023","1811","firefox","","","","","has title",""
