"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 06:51:04 GMT 2023","Thu Jun 01 06:51:06 GMT 2023","1625","webkit","","","","","has title",""
"passed","Thu Jun 01 06:51:00 GMT 2023","Thu Jun 01 06:51:01 GMT 2023","1242","firefox","","","","","get started link",""
"passed","Thu Jun 01 06:50:58 GMT 2023","Thu Jun 01 06:51:00 GMT 2023","1652","firefox","","","","","has title",""
"passed","Thu Jun 01 06:51:01 GMT 2023","Thu Jun 01 06:51:02 GMT 2023","933","firefox","","","","","playwright web test",""
"passed","Thu Jun 01 06:50:57 GMT 2023","Thu Jun 01 06:50:58 GMT 2023","1071","chromium","","","","","facebook web test",""
"passed","Thu Jun 01 06:51:06 GMT 2023","Thu Jun 01 06:51:07 GMT 2023","1573","webkit","","","","","get started link",""
"passed","Thu Jun 01 06:51:09 GMT 2023","Thu Jun 01 06:51:10 GMT 2023","1494","webkit","","","","","facebook web test",""
"passed","Thu Jun 01 06:50:56 GMT 2023","Thu Jun 01 06:50:57 GMT 2023","708","chromium","","","","","playwright web test",""
"passed","Thu Jun 01 06:50:55 GMT 2023","Thu Jun 01 06:50:56 GMT 2023","829","chromium","","","","","get started link",""
"passed","Thu Jun 01 06:51:07 GMT 2023","Thu Jun 01 06:51:09 GMT 2023","1284","webkit","","","","","playwright web test",""
"passed","Thu Jun 01 06:51:02 GMT 2023","Thu Jun 01 06:51:03 GMT 2023","1071","firefox","","","","","facebook web test",""
"passed","Thu Jun 01 06:50:55 GMT 2023","Thu Jun 01 06:50:55 GMT 2023","638","chromium","","","","","has title",""
