"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 06:59:53 GMT 2023","Thu Jun 01 06:59:54 GMT 2023","902","chromium","","","","","facebook web test",""
"passed","Thu Jun 01 07:00:02 GMT 2023","Thu Jun 01 07:00:05 GMT 2023","2457","firefox","","","","","playwright web test",""
"broken","Thu Jun 01 06:59:56 GMT 2023","Thu Jun 01 07:00:02 GMT 2023","5593","firefox","","","","","get started link",""
"passed","Thu Jun 01 07:00:16 GMT 2023","Thu Jun 01 07:00:18 GMT 2023","1883","webkit","","","","","facebook web test",""
"passed","Thu Jun 01 07:00:07 GMT 2023","Thu Jun 01 07:00:08 GMT 2023","1841","webkit","","","","","has title",""
"broken","Thu Jun 01 07:00:08 GMT 2023","Thu Jun 01 07:00:14 GMT 2023","5293","webkit","","","","","get started link",""
"passed","Thu Jun 01 06:59:45 GMT 2023","Thu Jun 01 06:59:46 GMT 2023","1031","chromium","","","","","has title",""
"passed","Thu Jun 01 07:00:05 GMT 2023","Thu Jun 01 07:00:06 GMT 2023","1037","firefox","","","","","facebook web test",""
"passed","Thu Jun 01 07:00:14 GMT 2023","Thu Jun 01 07:00:16 GMT 2023","1844","webkit","","","","","playwright web test",""
"passed","Thu Jun 01 06:59:54 GMT 2023","Thu Jun 01 06:59:56 GMT 2023","1766","firefox","","","","","has title",""
"broken","Thu Jun 01 06:59:46 GMT 2023","Thu Jun 01 06:59:52 GMT 2023","5715","chromium","","","","","get started link",""
"passed","Thu Jun 01 06:59:52 GMT 2023","Thu Jun 01 06:59:53 GMT 2023","1067","chromium","","","","","playwright web test",""
