"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 01 08:26:24 GMT 2023","Thu Jun 01 08:26:25 GMT 2023","1047","chromium","","","","","facebook web test",""
"passed","Thu Jun 01 08:26:36 GMT 2023","Thu Jun 01 08:26:37 GMT 2023","1123","firefox","","","","","facebook web test",""
"broken","Thu Jun 01 08:26:40 GMT 2023","Thu Jun 01 08:26:45 GMT 2023","5237","webkit","","","","","get started link",""
"passed","Thu Jun 01 08:26:48 GMT 2023","Thu Jun 01 08:26:49 GMT 2023","1541","webkit","","","","","facebook web test",""
"passed","Thu Jun 01 08:26:16 GMT 2023","Thu Jun 01 08:26:17 GMT 2023","1150","chromium","","","","","has title",""
"passed","Thu Jun 01 08:26:26 GMT 2023","Thu Jun 01 08:26:27 GMT 2023","1878","firefox","","","","","has title",""
"broken","Thu Jun 01 08:26:17 GMT 2023","Thu Jun 01 08:26:22 GMT 2023","5162","chromium","","","","","get started link",""
"passed","Thu Jun 01 08:26:33 GMT 2023","Thu Jun 01 08:26:36 GMT 2023","2555","firefox","","","","","playwright web test",""
"passed","Thu Jun 01 08:26:46 GMT 2023","Thu Jun 01 08:26:48 GMT 2023","2004","webkit","","","","","playwright web test",""
"passed","Thu Jun 01 08:26:23 GMT 2023","Thu Jun 01 08:26:24 GMT 2023","1262","chromium","","","","","playwright web test",""
"broken","Thu Jun 01 08:26:27 GMT 2023","Thu Jun 01 08:26:33 GMT 2023","5570","firefox","","","","","get started link",""
"passed","Thu Jun 01 08:26:38 GMT 2023","Thu Jun 01 08:26:40 GMT 2023","2195","webkit","","","","","has title",""
